ID,Name,Typ,Land,Am,MW
vanw,Vancouver Whitecaps,2,CAN,0,NA
atm,Atletico Madrid,2,ESP,0,NA
met,FC Metz,2,FRA,0,NA
ren,Stade Rennes,2,FRA,0,NA
bar,FC Barcelona,2,ESP,0,NA
nyfc,New York City FC,2,USA,0,NA
aux,AJ Auxerre,2,FRA,0,NA
gcz,Grashoppers Zuerich,2,SUI,0,NA
len,RC Lens,2,FRA,0,NA
rwa,Rot Weiss Ahlen,2,GER,1,NA
caen,SM Caen,2,FRA,0,NA
mu60,1860 Muenchen,2,GER,0,NA
niz,OGC Nizza,2,FRA,0,NA
bir,Birmingham City,2,ENG,0,NA
rev,RE Virton,2,BEL,0,NA
uha,SpVgg Unterhaching,2,GER,1,NA
vfra,VfR Aalen,2,GER,1,NA
mtk,MTK Budapest,2,HUN,0,NA
stra,Racing Strassbourg,2,FRA,0,NA
fck,1. FC Kaiserslautern,2,GER,0,NA
bama,JMG Academy Bamako,2,MAL,0,NA
lyn,Lyngby BK,2,DEN,0,NA
sun,GIF Sundsvall,2,SWE,0,NA
hoed,IL Hoedd,2,NOR,0,NA
rbs,Red Bull Salzburg,2,AUT,0,NA
fur,Spvgg Greuther Fuerth,2,GER,0,NA
tps,Turun Palloseura,2,FIN,0,NA
ind,Independiente del Valle,2,ECU,0,NA
asec,ASEC Mimosas,2,CIV,0,NA
sep,Sepaphan FC,2,IRN,0,NA
manu,Manchester United,2,ENG,0,NA
rivp,River Plate,2,ARG,0,NA
fcno,FC Nordsjelland,2,DEN,0,NA
manc,Manchester City,2,ENG,0,NA
ebs,Eintracht Braunschweig,2,GER,0,NA
tor,Torpedo Moskau,2,RUS,0,NA
leix,Leixoes SC,2,POR,0,NA
spra,Sparta Prag,2,CZE,0,NA
cfc,Chelsea London FC,2,ENG,0,NA
brue,FC Bruegge,2,BEL,0,NA
cob,Cobreloa,2,CHI,0,NA
tou,FC Toulouse,2,FRA,0,NA
hee,SC Heerenveen,2,NED,0,NA
bro,Broendby IF,2,DEN,0,NA
saop,Sao Paulo FC,2,BRA,0,NA
heid,FC Heidenheim,2,GER,0,NA
off,Kickers Offenbach,2,GER,1,NA
cal,Deportivo Cali,2,COL,0,NA
fhs,Fujieda Highschool,2,JAP,0,NA
cac,CA Colon,2,ARG,0,NA
ben,Benfica Lissabon,2,POR,0,NA
rij,HNK Rijeka,2,CRO,0,NA
spli,RNK Split,2,CRO,0,NA
fcz,FC Zuerich,2,SUI,0,NA
nan,FC Nantes,2,FRA,0,NA
hhs,Higashiyama Highschool,2,JAP,0,NA
ol,Olympique Lyon,2,FRA,0,NA
pac,Paradou AC,2,ALG,0,NA
bas,FC Basel,2,SUI,0,NA
kaw,Kawasaki Frontale,2,JAP,0,NA
soc,FC Sochaux,2,FRA,0,NA
ksc,Karlsruher SC,2,GER,0,NA
wad,Wadi Degla,2,EGY,0,NA
awie,Austria Wien,2,AUT,0,NA
dcu,D.C. United,2,USA,0,NA
